id,Process Single,Process Count 1,Process Count 2,Process Count 3,Process Count 4,Process Count 5,Process Count 6,Process Count 7,Process Count 8,Process Count 9,Process Count 10,Process Count 11,Process Count 12,Process Count 13,Process Count 14,Process Count 15,Process Count 16,Process Count 17,Process Count 18,Process Count 19,Process Count 20,Process Count 21,Process Count 22,Process Count 23,Process Count 24
1,3,53,51,52,51,52,49,49,47,45,45,46,49,46,47,48,46,45,46,45,45,46,46,45,45
10,2,48,53,57,65,71,79,91,92,123,126,124,125,127,128,128,129,127,126,135,123,110,110,130,132
100,13,67,63,65,66,72,77,97,95,128,131,144,146,142,166,189,203,198,194,223,225,237,252,266,295
1000,121,158,97,88,100,105,90,108,121,146,160,156,173,168,186,195,196,225,227,225,256,258,298,282,313
10000,1028,1046,555,400,322,292,272,286,340,308,334,380,354,365,344,375,355,363,386,400,446,493,466,473,639
100000,10724,10883,5399,3649,3146,2287,2216,2196,2412,2251,2266,2186,2291,2354,2324,2367,2293,2309,2294,2337,2711,2431,2301,2389,2808
